Job Title,Job Link,Company,Location,Skills
Back-end .NET Core Developer,https://wuzzuf.net/jobs/p/g8jwvpjdftoh-back-end-net-core-developer-spark-systems-giza-egypt,Spark Systems -,"Sheikh Zayed, Giza, Egypt ",Full TimeOn-siteExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · .net core · ASP · ASP.Net · Information Technology (IT) · Software Development · Computer Science · Software Engineering
Senior Back End Developer,https://wuzzuf.net/jobs/p/ju1cpelbrhcl-senior-back-end-developer-youxel-cairo-egypt,Youxel -,"Maadi, Cairo, Egypt ",Full TimeHybridExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Back End · Backend Development · Web Development · Computer Science · Information Technology (IT) · .NET · C# · ASP.NET
Senior Back End Developer,https://wuzzuf.net/jobs/p/qjow4fasuuum-senior-back-end-developer-misbar-alkawn-cairo-egypt,Misbar Alkawn -,"Nasr City, Cairo, Egypt ","Full TimeOn-siteExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Microservices · Clean Architecture, DDD/CQRS · event-driven architecture and infrastructure-as-code · inter-service communication, data ownership, API gateway selection, and cross-service transactions"
Junior Backend Developer (React.js / Node.js),https://wuzzuf.net/jobs/p/pb8p1gvwghil-junior-backend-developer-reactjs-nodejs-cairo-egypt,Confidential -,"Maadi, Cairo, Egypt ",Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Node.js · backend · React · Software Development · Typescript · Back-End Development · API · Information Technology (IT) · JavaScript
Back-End Developer,https://wuzzuf.net/jobs/p/3TEIk1bT5W7R-Back-End-Developer-Unique-Solutions-Network-Cairo-Egypt,Unique Solutions Network -,"Cairo, Egypt ",Full TimeOn-siteExperienced · 2+ Yrs of Exp · IT/Software Development · back-end · Computer Science · Design · .Net · Engineering · Git · Information Technology (IT) · JavaScript · MySQL
Mid-Backend Developer,https://wuzzuf.net/jobs/p/noaqn3lfma1u-mid-backend-developer-nexus-analytica-cairo-egypt,Nexus Analytica -,"Shorouk City, Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · IT/Software Development · back-end · Back-End Developer · Computer Science · Python · Software Engineering · Software Development · developer
Senior Back End Engineer - Node.js,https://wuzzuf.net/jobs/p/124z1R7uM4yE-Senior-Back-End-Engineer---Nodejs-Cairo-Egypt,Confidential -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Node.js · gRPC · MySQL · MongoDB · Socket.io · azure cloud
Backend Developer,https://wuzzuf.net/jobs/p/bkelvhbxre9k-backend-developer-cairo-egypt,Confidential -,"Cairo, Egypt ",Full TimeFreelance / ProjectRemoteExperienced · 2 - 4 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · MySQL · backend · Computer Science · Software Engineering · front-end · Information Technology (IT) · PHP
Backend Developer,https://wuzzuf.net/jobs/p/oaqrhoxisuse-backend-developer-paymint-cairo-egypt,Paymint -,"Maadi, Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · IT/Software Development · back-end · Laravel · PHP · Software Engineering · Software Development · HTML5 · CSS
Backend Developer - PHP & Laravel,https://wuzzuf.net/jobs/p/syeudlc1dsrh-backend-developer---php-laravel-softxpert-incorporation-alexandria-egypt,Softxpert Incorporation  -,"Alexandria, Egypt ",Full TimeHybridExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Computer Science · Engineering · Information Technology (IT) · Laravel · Software · Software Development · Software Engineering · PHP · Angular
